[400. 367.],[347. 317.],[301. 379.],[331. 318.],[345. 392.],[336. 361.],[379. 310.],[318. 364.],[387. 334.],[344. 323.],[352. 305.],[311. 369.],[398. 355.],[373. 310.],[313. 396.],[317. 350.],[328. 302.],[344. 398.],[387. 357.],[311. 355.],[303. 312.],[315. 360.],[397. 374.],[375. 379.],[324. 393.],[327. 314.],[304. 395.],[314. 339.],[363. 327.],[357. 387.],[326. 309.],[313. 356.],[300. 393.],[302. 367.],[307. 396.],[321. 357.],[398. 374.],[311. 312.],[377. 385.],[322. 399.],[343. 384.],[314. 363.],[308. 362.],[384. 335.],[341. 314.],[337. 330.],[342. 352.],[372. 390.],[339. 314.],[336. 362.]
[379.18773841 359.1802497 ],[367.1665801  327.90885093],[308.51100732 385.57511444],[346.83686059 324.51647762],[342.1493629 395.7990584],[352.02605458 341.89415612],[384.55876203 321.43747514],[350.35154459 375.98167377],[389.41383366 338.29718546],[359.13376126 333.44217425],[363.66039825 315.96513575],[328.61810838 384.66340664],[384.0522227 348.8358446],[373.62068038 318.88447898],[318.66928817 392.01247047],[341.43528709 352.66390186],[348.90582888 310.80896621],[334.25258894 401.99912499],[371.96080149 350.85918066],[323.56428675 352.47918841],[326.1239218  328.18527987],[343.68890733 363.0424161 ],[360.90920991 368.45229588],[364.36104935 378.97419205],[326.77170903 396.33130476],[336.35945564 327.46429436],[301.36600426 397.26190818],[331.70703102 345.00297254],[370.57920132 339.11324087],[349.23706771 385.65250838],[340.970594   316.35170374],[330.00610476 361.85904224],[310.33875852 395.05734792],[318.33997147 378.50530209],[310.00990749 405.83426482],[335.77653061 337.05215627],[370.97561378 369.58737469],[331.80853642 317.55840824],[360.32593399 387.08904122],[319.56651364 405.45096142],[338.1682954  386.37801318],[339.95180314 374.38329419],[330.43027269 372.58097896],[380.29366154 337.58583114],[378.06641689 328.51559148],[346.15736781 335.05704895],[356.90160029 352.71414057],[352.89435242 396.11243443],[355.81045827 321.61810993],[352.98154804 365.17061708]
[379.26841926 359.33271294],[367.39464077 328.19590644],[308.88761016 385.71259425],[347.18379935 324.86084803],[342.38486275 396.02767616],[352.34481882 342.24278804],[384.75842651 321.73917468],[350.58461748 376.16737937],[389.55994425 338.58509119],[359.38471962 333.74618525],[363.92210572 316.23217897],[328.87012683 384.86676167],[384.12657051 349.1086962 ],[373.84297331 319.1589698 ],[319.05201    392.15923928],[341.75591744 352.84343958],[349.26505065 311.18061958],[334.51954959 402.24343374],[372.0105801  351.10679904],[323.9721864  352.72186117],[326.50400881 328.55107436],[343.88904524 363.26842368],[361.11697101 368.61408271],[364.52218656 379.18769501],[327.11433531 396.53683534],[336.73009806 327.80200075],[301.79408807 397.41066949],[332.06036713 345.29683037],[370.69886836 339.47777877],[349.43081676 385.86503842],[341.31401289 316.69638887],[330.31886503 362.11423594],[310.77312578 395.24089281],[318.7034796  378.69959467],[310.41340791 406.05488944],[336.15700971 337.41620538],[371.0901396  369.76020667],[332.15723811 317.9108737 ],[360.51924106 387.31545677],[319.96121275 405.63310917],[338.40767459 386.57306368],[340.18602144 374.61180286],[330.69438338 372.83288103],[380.42149218 337.8885502 ],[378.25360426 328.80928152],[346.49971596 335.39192435],[357.1605964  352.93484267],[353.11066607 396.3473959 ],[356.12875362 321.94813435],[353.20261214 365.32228665]
[379.349617   359.49596287],[367.62749867 328.48653024],[309.26915481 385.85397189],[347.53289586 325.20928456],[342.62905332 396.25874765],[352.66725193 342.59521952],[384.96360873 322.0442159 ],[350.82411038 376.3562575 ],[389.71237737 338.87730046],[359.64008139 334.05376943],[364.1881881  316.50196511],[329.13110503 385.07181412],[384.21066114 349.38543381],[374.07175492 319.43705495],[319.43912934 392.30904497],[342.08072774 353.02910876],[349.62671002 311.5546089 ],[334.7971268 402.4916994],[372.06506761 351.36493389],[324.37912107 352.96674167],[326.88580519 328.92051717],[344.0940307  363.49602968],[361.33028865 368.78052202],[364.69180181 379.40401112],[327.46462515 396.74570317],[337.10371598 328.14364941],[302.2281813  397.56232298],[332.41498313 345.59351591],[370.82094738 339.84500897],[349.63279225 386.07984429],[341.66113126 317.04483641],[330.63462726 362.37025814],[311.21234217 395.42741412],[319.07027569 378.89372125],[310.82209812 406.27723529],[336.54061327 337.78221775],[371.21684838 369.93805518],[332.50890776 318.26831702],[360.7212474  387.54496319],[320.36166853 405.81866699],[338.65568007 386.77014849],[340.42794562 374.842513  ],[330.96329774 373.08482444],[380.55632055 338.19449187],[378.44674923 329.10676649],[346.84544999 335.72994718],[357.42407933 353.16411979],[353.33606298 396.58448871],[356.45100117 322.2816872 ],[353.42894559 365.47752702]
[379.43776906 359.68123691],[367.88056216 328.79902728],[309.68020698 386.00852137],[347.90652649 325.58367093],[342.89844302 396.50671646],[353.0139752  342.97344862],[385.18791227 322.37184048],[351.08599279 376.5603182 ],[389.88124193 339.19256552],[359.9165628  334.38426352],[364.47607826 316.79144225],[329.41861414 385.2915027 ],[384.31070489 349.68373218],[374.32098907 319.73331754],[319.8557853  392.47148574],[342.43068774 353.23320574],[350.01400568 311.95419599],[335.10407016 402.75969444],[372.12905703 351.65008084],[324.81058709 353.22942806],[327.29371089 329.31691931],[344.3176521  363.73981805],[361.56335101 368.96253863],[364.88172371 379.63683786],[327.84581444 396.97131793],[337.50431886 328.51075602],[302.69627327 397.72649866],[332.79340953 345.9118798 ],[370.95458995 340.23788334],[349.85690126 386.31050444],[342.03438012 317.41894484],[330.97376298 362.64330185],[311.68485429 395.62865455],[319.46404301 379.09984091],[311.26245595 406.51532996],[336.95186901 338.17307414],[371.365066   370.13277474],[332.88642813 318.65337108],[360.94591002 387.79212105],[320.79995882 406.02033663],[338.92928815 386.98193654],[340.69399852 375.08996141],[331.25493467 373.35241607],[380.70749111 338.52307846],[378.65888497 329.42704148],[347.21710027 336.09262255],[357.70910855 353.41714851],[353.5861181  396.83869668],[356.79833479 322.63971471],[353.67582489 365.64669577]
[379.5235232  359.86571054],[368.12396345 329.09609802],[310.07218402 386.15773464],[348.26086293 325.93935676],[343.16091563 396.74200027],[353.34397197 343.33225897],[385.40462748 322.68303529],[351.33921098 376.75519685],[390.04610729 339.49335826],[360.18151102 334.69824886],[364.75173864 317.06596203],[329.69830512 385.49975564],[384.41417914 349.96804242],[374.56117424 320.01286468],[320.25294404 392.62708008],[342.76446677 353.43122561],[350.38140653 312.33178575],[335.40361697 403.01541307],[372.19528358 351.92715757],[325.21600926 353.4788696 ],[327.67987238 329.69318738],[344.53357062 363.97093992],[361.78845833 369.13836227],[365.06909548 379.8583382 ],[328.21243105 397.18647159],[337.88456012 328.85973532],[303.1429571 397.8835106],[333.15109456 346.21410348],[371.08463147 340.60938982],[350.07648591 386.52952335],[342.38972121 317.77400213],[331.29621726 362.90104032],[312.13466996 395.82062159],[319.8382589 379.2936336],[311.68248714 406.74073097],[337.34233513 338.54204153],[371.51630097 370.32109238],[333.24527483 319.01987853],[361.16624274 388.02734302],[321.22286629 406.21380174],[339.19563016 387.18331348],[340.9523864 375.3245371],[331.53477272 373.60384964],[380.85652582 338.83520064],[378.8645938  329.73162864],[347.57062789 336.43664315],[357.98171473 353.66308318],[353.83076045 397.07968563],[357.12962041 322.97940373],[353.91376441 365.80954439]
[379.61300198 360.05991319],[368.37276846 329.39586267],[310.46931444 386.31059345],[348.61809411 326.29806479],[343.43240235 396.9789411 ],[353.67764707 343.69350813],[385.62699268 322.99687316],[351.59929225 376.95275348],[390.21679936 339.798118  ],[360.45133337 335.01489632],[365.03222428 317.34230889],[329.98711223 385.70938941],[384.52680638 350.25578925],[374.80722636 320.29320474],[320.65539141 392.78523287],[343.10270931 353.63505487],[350.75185685 312.71059829],[335.71383692 403.27439358],[372.26806167 352.21217828],[325.62089394 353.73051768],[328.06847623 330.0724435 ],[344.75517335 364.20377596],[362.01940745 369.3186419 ],[365.2651378  380.08203619],[328.58699218 397.4041984 ],[338.26808142 329.2119743 ],[303.59581295 398.04282093],[333.51038787 346.51881632],[371.21970002 340.98228985],[350.3048961  386.75032161],[342.74922553 318.13171909],[331.62203243 363.15951753],[312.58972305 396.01496505],[320.21621204 379.48721794],[312.10830818 406.9672544 ],[337.73628959 338.91182691],[371.67907934 370.51448643],[333.60786013 319.39015647],[361.39553391 388.26496912],[321.65559875 406.41065684],[339.4708766  387.38671516],[341.218846   375.56059246],[331.82020085 373.85471112],[381.0122304  339.15005476],[379.07641059 330.03913247],[347.92803429 336.78317465],[358.25863457 353.91646734],[354.08478677 397.32224356],[357.46546411 323.32151319],[354.15741203 365.97606553]
[379.70694072 360.26349501],[368.62696432 329.69817823],[310.871541   386.46687923],[348.97813828 326.65955786],[343.71288536 397.21727461],[354.01482228 344.0568606 ],[385.85492751 323.31331803],[351.86622592 377.15283951],[390.39313999 340.10682432],[360.7259572  335.33401065],[365.3174056  317.62042135],[330.28493097 385.92023643],[384.64833402 350.54692638],[375.05918345 320.57456487],[321.06326939 392.94572298],[343.44526992 353.84453218],[351.12515438 313.09051064],[336.03462831 403.53636158],[372.3477575  352.50448799],[326.0251698  353.98427869],[328.45937243 330.45440985],[344.98251142 364.43833007],[362.25615814 369.50332272],[365.46978236 380.30778011],[328.96946456 397.62420186],[338.65463813 329.56724757],[304.05477403 398.20414315],[333.87114036 346.82585483],[371.36031199 341.35634868],[350.54217144 386.97273556],[343.11261628 318.49187229],[331.95111508 363.41864907],[313.05003731 396.21142135],[320.59788514 379.68050454],[312.54003086 407.19463167],[338.13353227 339.28215904],[371.85309908 370.71299202],[333.97394158 319.76386464],[361.63373864 388.50480628],[322.09753705 406.61057417],[339.7549708  387.59205675],[341.49329736 375.79790119],[332.11128517 374.10481189],[381.17438604 339.46760836],[379.29422673 330.34945846],[348.28918041 337.13206993],[358.53968459 354.17698257],[354.34817031 397.56619092],[357.80573485 323.66586913],[354.40671881 366.14628483]
[379.80599413 360.47608124],[368.88653713 330.00290881],[311.27880411 386.62635627],[349.34091009 327.02360369],[344.00233899 397.45674289],[354.35533798 344.42200557],[386.08835738 323.63233389],[352.13999233 377.35531299],[390.57498768 340.41943637],[361.00531421 335.6553978 ],[365.60715414 317.90024369],[330.59164693 386.13212049],[384.77853544 350.84140594],[375.31706094 320.85714216],[321.47669086 393.10832403],[343.7919943 354.059477 ],[351.50110168 313.4714035 ],[336.36586888 403.80103369],[372.43410989 352.79914275],[326.42876973 354.24005606],[328.85240784 330.83882025],[345.21561874 364.67459116],[362.49867597 369.69233993],[365.68295624 380.53542759],[329.35979286 397.84618001],[339.04399063 329.92532625],[304.51974969 398.367188  ],[334.23321053 347.13504963],[371.50690601 341.73127522],[350.78833891 387.19660267],[343.47962692 318.85424798],[332.28336823 363.6783457 ],[313.51561999 396.40972839],[320.98325539 379.87340446],[312.97774863 407.42258624],[338.53386603 339.65280887],[372.03806284 370.91655088],[334.34328423 320.14068234],[361.88080728 388.74666665],[322.54810773 406.81322557],[340.04784459 387.79923125],[341.77564443 376.03624815],[332.40808159 374.35398653],[381.34278803 339.78774593],[379.51794139 330.66250794],[348.65392259 337.48318014],[358.82469841 354.44423649],[354.62087562 397.81134955],[358.15029505 324.01230093],[354.66261826 366.31761823]
[379.91764563 360.7115828 ],[369.16838384 330.32926237],[311.71713437 386.79912201],[349.72933403 327.4130276 ],[344.31997121 397.71217454],[354.72076123 344.81170546],[386.34251981 323.97415066],[352.43856968 377.57292766],[390.77430614 340.75589794],[361.30742491 335.99922692],[365.92006579 318.19951144],[330.9274699  386.35823086],[384.92638483 351.15798548],[375.59790812 321.15899127],[321.92240223 393.28323526],[344.16492833 354.29375467],[351.9033577  313.87713592],[336.72951886 404.08497409],[372.53400783 353.11512888],[326.85679311 354.51399294],[329.2722707 331.2497371],[345.46986094 364.92757913],[362.76288785 369.89793635],[365.91907499 380.77932135],[329.78360653 398.08414868],[339.46072151 330.30860615],[305.02052554 398.54204248],[334.61932779 347.46587922],[371.67000016 342.13051904],[351.05993547 387.43596377],[343.87344658 319.24163467],[332.63995772 363.95492945],[314.01655067 396.62215728],[321.39701911 380.07789554],[313.44980017 407.66524533],[338.96249017 340.04700587],[372.24676111 371.13847462],[334.73933915 320.54435184],[362.15337973 389.00580313],[323.03630772 407.0312914 ],[340.36911416 388.02134044],[342.08457804 376.29055775],[332.73012661 374.61764252],[381.52873606 340.13076704],[379.76234769 330.99833783],[349.04563644 337.85878266],[359.13199841 354.73549226],[354.92131098 398.0730966 ],[358.52130596 324.38263343],[354.94199142 366.50145941]
[380.02893694 360.94125634],[369.43900215 330.63857435],[312.13459523 386.96439628],[350.09746665 327.78163733],[344.6278238  397.95320892],[355.0677587  345.17970476],[386.58709567 324.29835358],[352.72639032 377.77976553],[390.96719911 341.07619845],[361.59637518 336.32471498],[366.21888373 318.48277649],[331.2521829  386.57169696],[385.0738116 351.4590437],[375.86811059 321.44461782],[322.34759364 393.44949008],[344.5197843 354.5192273],[352.28421933 314.25974385],[337.08192815 404.35431383],[372.63559538 353.41520545],[327.25883988 354.7736322 ],[329.66926439 331.6384177 ],[345.71498351 365.16725181],[363.01729902 370.09554811],[366.14970029 381.01041468],[330.19014779 398.30943277],[339.85525111 330.67169005],[305.49761274 398.70773965],[334.98378407 347.7790356 ],[371.83019025 342.50662681],[351.32447961 387.66236219],[344.24720615 319.60803529],[332.97853246 364.2155988 ],[314.49322351 396.82341979],[321.7900693  380.26978787],[313.90020306 407.89360288],[339.36860464 340.41794156],[372.45358467 371.35218281],[335.11488002 320.92676646],[362.41866079 389.2513323 ],[323.50334163 407.23858422],[340.68006414 388.23193648],[342.38298427 376.53052196],[333.03900952 374.86457458],[381.70963725 340.45597491],[379.99807729 331.31689263],[349.41756832 338.21417026],[359.42495004 355.01548476],[355.21327618 398.32028209],[358.87445823 324.73290735],[355.21105466 366.67625434]
[380.15466988 361.19380578],[369.73254288 330.96951413],[312.58360249 387.14271648],[350.49138535 328.17540828],[344.96490419 398.20974529],[355.43979656 345.57184138],[386.85296546 324.64558406],[353.03984179 378.0016314 ],[391.17808653 341.4205197 ],[361.90854782 336.6724731 ],[366.541153   318.78559117],[331.60681732 386.79904486],[385.23956238 351.78236644],[376.16197199 321.75000692],[322.80592236 393.62773295],[344.90099239 354.76412476],[352.69127909 314.66704417],[337.46769312 404.64251573],[372.75259955 353.73723405],[327.68508135 355.05144368],[330.09297865 332.05332666],[345.98202213 365.42370295],[363.29436882 370.30046544],[366.40418587 381.2574119 ],[330.63092542 398.55018071],[340.27695417 331.05977639],[306.01092792 398.88474225],[335.37215531 348.11365311],[372.00840967 342.9066184 ],[351.61560503 387.90402878],[344.6476379  319.99925057],[333.34159844 364.49297502],[315.00584205 397.0383967 ],[322.21189686 380.47300585],[314.38581056 408.13599401],[339.80293771 340.81207667],[372.68492532 371.58450777],[335.51699945 321.33573005],[362.7104483  389.51375839],[324.00790699 407.46080704],[341.02029913 388.45732762],[342.70867426 376.78609576],[333.37395378 375.12556232],[381.90853315 340.80415306],[380.25504894 331.65829663],[349.81827171 338.59367368],[359.74046943 355.31917286],[355.5340296  398.58375257],[359.25425866 325.10693688],[355.50389547 366.86424107]
[380.28004585 361.43839762],[370.01411651 331.28290036],[313.01095132 387.31267084],[350.86452799 328.54767046],[345.29094628 398.45133126],[355.79283294 345.94164466],[387.10844867 324.97478605],[353.34159808 378.21199167],[391.38177104 341.74793952],[362.20688504 337.00128399],[366.84854051 319.07210159],[331.94893689 387.01327067],[385.40352808 352.08956627],[376.44431078 322.03917556],[323.24302449 393.79663416],[345.26329545 354.99908066],[353.0826203  315.04734024],[337.84054528 404.91523947],[372.87098669 354.04315459],[328.08533997 355.31452454],[330.4933104  332.44530073],[346.23917915 365.66647622],[363.56095392 370.49001258],[366.65190953 381.4908142 ],[331.05315975 398.77742641],[340.67574052 331.42693569],[306.49947756 399.05187549],[335.7385291  348.42999251],[372.18332553 343.28303538],[351.89850247 388.13225153],[345.02730035 320.36880093],[333.68605227 364.75417012],[315.4933785  397.24154321],[322.61243066 380.66352453],[314.84897659 408.36348069],[340.2140844  341.18268676],[372.91254069 371.80758334],[335.89794311 321.72252093],[362.99368274 389.76173381],[324.48941249 407.67133256],[341.34884972 388.67067207],[343.02255438 377.02686586],[333.69499593 375.36976611],[382.1013697  341.13401765],[380.50243756 331.9818525 ],[350.19970821 338.95210876],[360.0409891  355.60980723],[355.84496125 398.83217432],[359.61549997 325.46029361],[355.78515261 367.04316098]
[380.42156488 361.70541808],[370.31922734 331.61790185],[313.47025787 387.49534023],[351.26372242 328.94475397],[345.64719477 398.70790802],[356.17112666 346.33518373],[387.38579123 325.32720875],[353.66977711 378.43694845],[391.60406096 342.09950392],[362.52897619 337.352152  ],[367.17978493 319.37819756],[332.32170565 387.24095841],[385.58653995 352.41918206],[376.75092262 322.34851161],[323.7139882  393.97712908],[345.65202094 355.2534604 ],[353.50659084 315.44843644],[338.24757729 405.2063143 ],[373.0065321  354.37147999],[328.50956382 355.59575866],[330.92028306 332.86319916],[346.51895316 365.92601916],[363.85072815 370.68874771],[366.92431915 381.73963268],[331.51026926 399.01953789],[341.10154393 331.81884424],[307.02454202 399.2297511 ],[336.12875346 348.76755065],[372.377644   343.68297339],[352.2090656  388.37544875],[345.43384006 320.76277736],[334.0551206  365.03185304],[316.01735619 397.45793905],[323.04364738 380.86121626],[315.34808019 408.60424072],[340.65342508 341.57621679],[373.16539545 372.04945865],[336.30561801 322.13541739],[363.30438811 390.02608919],[325.00837836 407.8962159 ],[341.70749181 388.89856825],[343.36433296 377.28287832],[334.04289281 375.62756701],[382.3127215  341.48692955],[380.77162992 332.32829272],[350.60980633 339.33439275],[360.36438787 355.92370773],[356.18567755 399.09650871],[360.00377112 325.83710801],[356.090399   367.23577167]
